Date,Open,High,Low,Close,Volume,Adj Close,
2016-12-30,224.729996,224.830002,222.729996,223.529999,108998300,222.561759,0.024035595
2016-12-01,220.729996,220.729996,219.149994,219.570007,79040500,217.337913,
2016-11-30,221.630005,221.820007,220.309998,220.380005,113291800,218.139677,0.044405533
2016-11-01,212.929993,212.990005,209.600006,211.009995,122781800,208.864919,
2016-10-31,212.929993,213.190002,212.360001,212.550003,61272500,210.389273,-0.014968928
2016-10-03,215.820007,216.039993,215.039993,215.779999,83512100,213.586433,
2016-09-30,215.649994,217.119995,215.360001,216.300003,117202900,214.101151,1.20E-05
2016-09-01,217.369995,217.729996,216.029999,217.389999,97844200,214.098573,
2016-08-31,217.610001,217.75,216.470001,217.380005,85269500,214.08873,0.002028224
2016-08-01,217.190002,217.649994,216.410004,216.940002,73311400,213.655389,
2016-07-29,216.460007,217.539993,216.130005,217.119995,79519400,213.832657,0.03429877
2016-07-01,209.479996,210.490005,209.289993,209.919998,106055300,206.741672,
2016-06-30,207.210007,209.539993,206.559998,209.479996,165021900,206.308332,0.001423765
2016-06-01,209.119995,210.479996,208.889999,210.270004,69936200,206.015015,
2016-05-31,210.559998,210.690002,209.179993,209.839996,109879400,205.593708,0.008991657
2016-05-02,206.919998,208.179993,206.410004,207.970001,62188000,203.761554,
2016-04-29,206.720001,207.130005,205.029999,206.330002,142424100,202.154742,-0.002851325
2016-04-01,204.350006,207.139999,203.979996,206.919998,114423500,202.732799,
2016-03-31,205.910004,206.410004,205.330002,205.520004,94584100,201.361135,0.042754047
2016-03-01,195.009995,198.210007,194.449997,198.110001,141799700,193.10511,
2016-02-29,195.110001,196.229996,193.330002,193.559998,125918100,188.670055,-0.000464733
2016-02-01,192.529999,194.580002,191.839996,193.649994,136061600,188.757777,
2016-01-29,190.020004,193.880005,189.880005,193.720001,210529300,188.826016,-0.03631481
2016-01-04,200.490005,201.029999,198.589996,201.020004,222353500,195.941598,
2015-12-31,205.130005,205.889999,203.869995,203.869995,102929500,198.719589,-0.026564785
2015-12-01,209.440002,210.820007,209.110001,210.679993,97858400,204.142593,
2015-11-30,209.75,209.889999,208.559998,208.690002,112822700,202.214352,-0.008080217
2015-11-02,208.320007,210.619995,208.169998,210.389999,86270800,203.861598,
2015-10-30,209.059998,209.440002,207.740005,207.929993,131076900,201.477925,0.082235919
2015-10-01,192.080002,192.490005,189.820007,192.130005,131079000,186.168211,
2015-09-30,190.369995,191.830002,189.440002,191.630005,163452000,185.683726,0.004465041
2015-09-01,193.119995,194.770004,190.729996,191.770004,256000400,184.858326,
2015-08-31,198.110001,199.130005,197.009995,197.669998,163298800,190.545675,-0.05777204
2015-08-03,210.460007,210.529999,208.649994,209.789993,113965700,202.228848,
2015-07-31,211.419998,211.449997,210.160004,210.5,103266900,202.913265,0.014457834
2015-07-01,207.729996,208.029999,206.559998,207.5,135979900,200.021389,
2015-06-30,207.259995,207.320007,205.279999,205.850006,182925100,198.430863,-0.022303263
2015-06-01,211.940002,212.339996,210.619995,211.570007,93338800,202.957477,
2015-05-29,212.380005,212.429993,210.820007,211.139999,124919600,202.544974,0.001993158
2015-05-01,209.399994,210.770004,209.279999,210.720001,103399700,202.142073,
2015-04-30,209.880005,210.350006,207.619995,208.460007,161304900,199.974078,0.013417646
2015-04-01,206.389999,206.419998,204.509995,205.699997,137303600,197.326422,
2015-03-31,207.259995,208.100006,206.360001,206.429993,126768700,198.026701,-0.021881062
2015-03-02,210.779999,212.059998,210.720001,211.990005,87491400,202.456668,
2015-02-27,211.259995,211.580002,210.600006,210.660004,108076000,201.186478,0.0432845
2015-02-02,200.050003,202.029999,197.860001,201.919998,163107000,192.839516,
2015-01-30,200.570007,202.169998,199.130005,199.449997,197729700,190.480593,-0.029109652
2015-01-02,206.380005,206.880005,204.179993,205.429993,121465900,196.191664,
